Transcript_ID	Length	Longest_ORF	Coding_Score	Classification
Cp_V2_contig_201	1226	177	0.144	lncRNA
Cp_V2_contig_202	329	78	0.237	lncRNA
Cp_V2_contig_203	1072	204	0.190	lncRNA
Cp_V2_contig_204	513	60	0.117	lncRNA
Cp_V2_contig_205	331	51	0.154	lncRNA
Cp_V2_contig_206	644	147	0.228	lncRNA
Cp_V2_contig_207	1422	1314	0.924	coding
Cp_V2_contig_208	1884	348	0.185	lncRNA
Cp_V2_contig_209	373	36	0.097	lncRNA
Cp_V2_contig_210	528	24	0.045	lncRNA
Cp_V2_contig_211	1081	0	0.000	lncRNA
Cp_V2_contig_212	855	138	0.161	lncRNA
Cp_V2_contig_213	995	168	0.169	lncRNA
Cp_V2_contig_214	520	198	0.381	lncRNA
Cp_V2_contig_215	2528	225	0.089	lncRNA
Cp_V2_contig_216	855	114	0.133	lncRNA
Cp_V2_contig_217	1550	1236	0.797	coding
Cp_V2_contig_218	689	144	0.209	lncRNA
Cp_V2_contig_219	2153	141	0.065	lncRNA
Cp_V2_contig_220	804	72	0.090	lncRNA
Cp_V2_contig_221	468	453	0.968	coding
Cp_V2_contig_222	1914	1437	0.751	coding
Cp_V2_contig_223	616	102	0.166	lncRNA
Cp_V2_contig_224	501	144	0.287	lncRNA
Cp_V2_contig_225	599	507	0.846	coding
Cp_V2_contig_226	2890	2658	0.920	coding
Cp_V2_contig_227	929	249	0.268	lncRNA
Cp_V2_contig_228	571	165	0.289	lncRNA
Cp_V2_contig_229	859	477	0.555	coding
Cp_V2_contig_230	1494	195	0.131	lncRNA
Cp_V2_contig_231	1471	981	0.667	coding
Cp_V2_contig_232	1881	552	0.293	lncRNA
Cp_V2_contig_233	746	516	0.692	coding
Cp_V2_contig_234	831	81	0.097	lncRNA
Cp_V2_contig_235	10801	480	0.044	lncRNA
Cp_V2_contig_236	390	81	0.208	lncRNA
Cp_V2_contig_237	789	504	0.639	coding
Cp_V2_contig_238	406	144	0.355	lncRNA
Cp_V2_contig_239	617	180	0.292	lncRNA
Cp_V2_contig_240	663	168	0.253	lncRNA
Cp_V2_contig_241	743	162	0.218	lncRNA
Cp_V2_contig_242	2310	1017	0.440	lncRNA
Cp_V2_contig_243	961	813	0.846	coding
Cp_V2_contig_244	1879	273	0.145	lncRNA
Cp_V2_contig_245	524	216	0.412	lncRNA
Cp_V2_contig_246	2207	237	0.107	lncRNA
Cp_V2_contig_247	1469	198	0.135	lncRNA
Cp_V2_contig_248	908	132	0.145	lncRNA
Cp_V2_contig_249	4124	300	0.073	lncRNA
Cp_V2_contig_250	2013	1644	0.817	coding
Cp_V2_contig_251	404	51	0.126	lncRNA
Cp_V2_contig_252	2741	342	0.125	lncRNA
Cp_V2_contig_253	444	60	0.135	lncRNA
Cp_V2_contig_254	478	114	0.238	lncRNA
Cp_V2_contig_255	818	90	0.110	lncRNA
Cp_V2_contig_256	385	234	0.608	coding
Cp_V2_contig_257	1744	1305	0.748	coding
Cp_V2_contig_258	1613	231	0.143	lncRNA
Cp_V2_contig_259	1494	333	0.223	lncRNA
Cp_V2_contig_260	598	426	0.712	coding
Cp_V2_contig_261	5763	1521	0.264	lncRNA
Cp_V2_contig_262	1111	129	0.116	lncRNA
Cp_V2_contig_263	647	36	0.056	lncRNA
Cp_V2_contig_264	354	222	0.627	coding
Cp_V2_contig_265	607	21	0.035	lncRNA
Cp_V2_contig_266	1161	984	0.848	coding
Cp_V2_contig_267	6544	552	0.084	lncRNA
Cp_V2_contig_268	669	624	0.933	coding
Cp_V2_contig_269	602	324	0.538	coding
Cp_V2_contig_270	788	312	0.396	lncRNA
Cp_V2_contig_271	3161	858	0.271	lncRNA
Cp_V2_contig_272	1218	333	0.273	lncRNA
Cp_V2_contig_273	1156	243	0.210	lncRNA
Cp_V2_contig_274	736	135	0.183	lncRNA
Cp_V2_contig_275	414	225	0.543	coding
Cp_V2_contig_276	403	255	0.633	coding
Cp_V2_contig_277	1897	183	0.096	lncRNA
Cp_V2_contig_278	784	330	0.421	lncRNA
Cp_V2_contig_279	1172	927	0.791	coding
Cp_V2_contig_280	439	84	0.191	lncRNA
Cp_V2_contig_281	4532	4152	0.916	coding
Cp_V2_contig_282	514	246	0.479	lncRNA
Cp_V2_contig_283	668	453	0.678	coding
Cp_V2_contig_284	568	177	0.312	lncRNA
Cp_V2_contig_285	718	87	0.121	lncRNA
Cp_V2_contig_286	1702	102	0.060	lncRNA
Cp_V2_contig_287	388	12	0.031	lncRNA
Cp_V2_contig_288	567	114	0.201	lncRNA
Cp_V2_contig_289	1385	1221	0.882	coding
Cp_V2_contig_290	408	303	0.743	coding
Cp_V2_contig_291	821	297	0.362	lncRNA
Cp_V2_contig_292	326	93	0.285	lncRNA
Cp_V2_contig_293	442	141	0.319	lncRNA
Cp_V2_contig_294	852	261	0.306	lncRNA
Cp_V2_contig_295	377	132	0.350	lncRNA
Cp_V2_contig_296	473	204	0.431	lncRNA
Cp_V2_contig_297	894	846	0.946	coding
Cp_V2_contig_298	322	96	0.298	lncRNA
Cp_V2_contig_299	807	162	0.201	lncRNA
Cp_V2_contig_300	1560	348	0.223	lncRNA
Cp_V2_contig_301	441	291	0.660	coding
Cp_V2_contig_302	3085	2898	0.939	coding
Cp_V2_contig_303	404	228	0.564	coding
Cp_V2_contig_304	544	99	0.182	lncRNA
Cp_V2_contig_305	488	99	0.203	lncRNA
Cp_V2_contig_306	499	159	0.319	lncRNA
Cp_V2_contig_307	2981	234	0.078	lncRNA
Cp_V2_contig_308	825	645	0.782	coding
Cp_V2_contig_309	1761	1437	0.816	coding
Cp_V2_contig_310	1927	1707	0.886	coding
Cp_V2_contig_311	557	306	0.549	coding
Cp_V2_contig_312	350	276	0.789	coding
Cp_V2_contig_313	683	147	0.215	lncRNA
Cp_V2_contig_314	513	186	0.363	lncRNA
Cp_V2_contig_315	411	309	0.752	coding
Cp_V2_contig_316	467	24	0.051	lncRNA
Cp_V2_contig_317	1022	576	0.564	coding
Cp_V2_contig_318	446	105	0.235	lncRNA
Cp_V2_contig_319	1860	1575	0.847	coding
Cp_V2_contig_320	379	141	0.372	lncRNA
Cp_V2_contig_321	2102	1827	0.869	coding
Cp_V2_contig_322	1550	1461	0.943	coding
Cp_V2_contig_323	538	270	0.502	coding
Cp_V2_contig_324	1246	1134	0.910	coding
Cp_V2_contig_325	2059	1263	0.613	coding
Cp_V2_contig_326	1310	153	0.117	lncRNA
Cp_V2_contig_327	320	78	0.244	lncRNA
Cp_V2_contig_328	558	45	0.081	lncRNA
Cp_V2_contig_329	377	177	0.469	lncRNA
Cp_V2_contig_330	1711	75	0.044	lncRNA
Cp_V2_contig_331	1169	237	0.203	lncRNA
Cp_V2_contig_332	839	141	0.168	lncRNA
Cp_V2_contig_333	2082	237	0.114	lncRNA
Cp_V2_contig_334	372	63	0.169	lncRNA
Cp_V2_contig_335	787	186	0.236	lncRNA
Cp_V2_contig_336	612	63	0.103	lncRNA
Cp_V2_contig_337	1230	1080	0.878	coding
Cp_V2_contig_338	1509	108	0.072	lncRNA
Cp_V2_contig_339	1253	222	0.177	lncRNA
Cp_V2_contig_340	465	12	0.026	lncRNA
Cp_V2_contig_341	461	90	0.195	lncRNA
Cp_V2_contig_342	2045	252	0.123	lncRNA
Cp_V2_contig_343	1033	870	0.842	coding
Cp_V2_contig_344	2117	207	0.098	lncRNA
Cp_V2_contig_345	386	171	0.443	lncRNA
Cp_V2_contig_346	1887	1464	0.776	coding
Cp_V2_contig_347	2985	345	0.116	lncRNA
Cp_V2_contig_348	1160	978	0.843	coding
Cp_V2_contig_349	2060	1335	0.648	coding
Cp_V2_contig_350	314	147	0.468	lncRNA
Cp_V2_contig_351	3695	162	0.044	lncRNA
Cp_V2_contig_352	1445	201	0.139	lncRNA
Cp_V2_contig_353	1317	189	0.144	lncRNA
Cp_V2_contig_354	1573	1395	0.887	coding
Cp_V2_contig_355	422	144	0.341	lncRNA
Cp_V2_contig_356	715	123	0.172	lncRNA
Cp_V2_contig_357	2082	120	0.058	lncRNA
Cp_V2_contig_358	460	306	0.665	coding
Cp_V2_contig_359	1127	78	0.069	lncRNA
Cp_V2_contig_360	588	99	0.168	lncRNA
Cp_V2_contig_361	318	228	0.717	coding
Cp_V2_contig_362	1099	960	0.874	coding
Cp_V2_contig_363	333	18	0.054	lncRNA
Cp_V2_contig_364	383	270	0.705	coding
Cp_V2_contig_365	455	81	0.178	lncRNA
Cp_V2_contig_366	858	225	0.262	lncRNA
Cp_V2_contig_367	2071	924	0.446	lncRNA
Cp_V2_contig_368	448	78	0.174	lncRNA
Cp_V2_contig_369	1058	690	0.652	coding
Cp_V2_contig_370	1652	252	0.153	lncRNA
Cp_V2_contig_371	990	465	0.470	lncRNA
Cp_V2_contig_372	743	384	0.517	coding
Cp_V2_contig_373	1451	423	0.292	lncRNA
Cp_V2_contig_374	1719	1476	0.859	coding
Cp_V2_contig_375	431	222	0.515	coding
Cp_V2_contig_376	1489	318	0.214	lncRNA
Cp_V2_contig_377	632	96	0.152	lncRNA
Cp_V2_contig_378	3503	3474	0.992	coding
Cp_V2_contig_379	530	300	0.566	coding
Cp_V2_contig_380	1318	396	0.300	lncRNA
Cp_V2_contig_381	1616	264	0.163	lncRNA
Cp_V2_contig_382	2477	2283	0.922	coding
Cp_V2_contig_383	1210	216	0.179	lncRNA
Cp_V2_contig_384	1156	945	0.817	coding
Cp_V2_contig_385	1211	297	0.245	lncRNA
Cp_V2_contig_386	3597	252	0.070	lncRNA
Cp_V2_contig_387	1081	75	0.069	lncRNA
Cp_V2_contig_388	424	48	0.113	lncRNA
Cp_V2_contig_389	1433	405	0.283	lncRNA
Cp_V2_contig_390	962	849	0.883	coding
Cp_V2_contig_391	1215	159	0.131	lncRNA
Cp_V2_contig_392	3035	2748	0.905	coding
Cp_V2_contig_393	1746	1530	0.876	coding
Cp_V2_contig_394	2128	123	0.058	lncRNA
Cp_V2_contig_395	353	246	0.697	coding
Cp_V2_contig_396	1689	153	0.091	lncRNA
Cp_V2_contig_397	1182	105	0.089	lncRNA
Cp_V2_contig_398	405	57	0.141	lncRNA
Cp_V2_contig_399	644	546	0.848	coding
Cp_V2_contig_400	760	93	0.122	lncRNA
Cp_V2_contig_401	1228	1065	0.867	coding
Cp_V2_contig_402	2445	2205	0.902	coding
Cp_V2_contig_403	1735	1578	0.910	coding
Cp_V2_contig_404	1338	276	0.206	lncRNA
Cp_V2_contig_405	576	78	0.135	lncRNA
Cp_V2_contig_406	323	42	0.130	lncRNA
Cp_V2_contig_407	1709	420	0.246	lncRNA
Cp_V2_contig_408	671	66	0.098	lncRNA
Cp_V2_contig_409	480	93	0.194	lncRNA
Cp_V2_contig_410	1061	1014	0.956	coding
Cp_V2_contig_411	369	45	0.122	lncRNA
Cp_V2_contig_412	670	120	0.179	lncRNA
Cp_V2_contig_413	392	9	0.023	lncRNA
Cp_V2_contig_414	3826	3609	0.943	coding
Cp_V2_contig_415	972	147	0.151	lncRNA
Cp_V2_contig_416	340	111	0.326	lncRNA
Cp_V2_contig_417	1231	588	0.478	lncRNA
Cp_V2_contig_418	5228	1419	0.271	lncRNA
Cp_V2_contig_419	875	129	0.147	lncRNA
Cp_V2_contig_420	704	102	0.145	lncRNA
Cp_V2_contig_421	2689	207	0.077	lncRNA
Cp_V2_contig_422	1226	957	0.781	coding
Cp_V2_contig_423	1145	255	0.223	lncRNA
Cp_V2_contig_424	596	144	0.242	lncRNA
Cp_V2_contig_425	844	558	0.661	coding
Cp_V2_contig_426	4172	417	0.100	lncRNA
Cp_V2_contig_427	1123	924	0.823	coding
Cp_V2_contig_428	1043	318	0.305	lncRNA
Cp_V2_contig_429	583	378	0.648	coding
Cp_V2_contig_430	1135	114	0.100	lncRNA
Cp_V2_contig_431	1715	150	0.087	lncRNA
Cp_V2_contig_432	855	57	0.067	lncRNA
Cp_V2_contig_433	347	6	0.017	lncRNA
Cp_V2_contig_434	1119	108	0.097	lncRNA
Cp_V2_contig_435	530	54	0.102	lncRNA
Cp_V2_contig_436	307	171	0.557	coding
Cp_V2_contig_437	456	57	0.125	lncRNA
Cp_V2_contig_438	912	108	0.118	lncRNA
Cp_V2_contig_439	467	45	0.096	lncRNA
Cp_V2_contig_440	889	399	0.449	lncRNA
Cp_V2_contig_441	868	159	0.183	lncRNA
Cp_V2_contig_442	706	420	0.595	coding
Cp_V2_contig_443	439	87	0.198	lncRNA
Cp_V2_contig_444	849	387	0.456	lncRNA
Cp_V2_contig_445	317	45	0.142	lncRNA
Cp_V2_contig_446	3320	222	0.067	lncRNA
Cp_V2_contig_447	530	0	0.000	lncRNA
Cp_V2_contig_448	743	441	0.594	coding
Cp_V2_contig_449	710	120	0.169	lncRNA
Cp_V2_contig_450	1190	123	0.103	lncRNA
Cp_V2_contig_451	1025	300	0.293	lncRNA
Cp_V2_contig_452	1685	180	0.107	lncRNA
Cp_V2_contig_453	1061	789	0.744	coding
Cp_V2_contig_454	305	153	0.502	coding
Cp_V2_contig_455	415	36	0.087	lncRNA
Cp_V2_contig_456	960	93	0.097	lncRNA
Cp_V2_contig_457	352	96	0.273	lncRNA
Cp_V2_contig_458	1410	1215	0.862	coding
Cp_V2_contig_459	392	111	0.283	lncRNA
Cp_V2_contig_460	1471	1278	0.869	coding
Cp_V2_contig_461	802	135	0.168	lncRNA
Cp_V2_contig_462	1487	1290	0.868	coding
Cp_V2_contig_463	354	75	0.212	lncRNA
Cp_V2_contig_464	668	510	0.763	coding
Cp_V2_contig_465	2276	2127	0.935	coding
Cp_V2_contig_466	1494	111	0.074	lncRNA
Cp_V2_contig_467	425	0	0.000	lncRNA
Cp_V2_contig_468	1715	246	0.143	lncRNA
Cp_V2_contig_469	475	48	0.101	lncRNA
Cp_V2_contig_470	966	309	0.320	lncRNA
Cp_V2_contig_471	503	21	0.042	lncRNA
Cp_V2_contig_472	1300	219	0.168	lncRNA
Cp_V2_contig_473	470	45	0.096	lncRNA
Cp_V2_contig_474	2180	126	0.058	lncRNA
Cp_V2_contig_475	2356	357	0.152	lncRNA
Cp_V2_contig_476	908	240	0.264	lncRNA
Cp_V2_contig_477	1498	279	0.186	lncRNA
Cp_V2_contig_478	1421	1263	0.889	coding
Cp_V2_contig_479	1057	183	0.173	lncRNA
Cp_V2_contig_480	833	171	0.205	lncRNA
Cp_V2_contig_481	511	213	0.417	lncRNA
Cp_V2_contig_482	1536	243	0.158	lncRNA
Cp_V2_contig_483	357	66	0.185	lncRNA
Cp_V2_contig_484	1742	303	0.174	lncRNA
Cp_V2_contig_485	1498	330	0.220	lncRNA
Cp_V2_contig_486	660	153	0.232	lncRNA
Cp_V2_contig_487	1919	267	0.139	lncRNA
Cp_V2_contig_488	302	54	0.179	lncRNA
Cp_V2_contig_489	1295	1107	0.855	coding
Cp_V2_contig_490	3613	3591	0.994	coding
Cp_V2_contig_491	616	120	0.195	lncRNA
Cp_V2_contig_492	2340	1968	0.841	coding
Cp_V2_contig_493	1016	510	0.502	coding
Cp_V2_contig_494	1155	12	0.010	lncRNA
Cp_V2_contig_495	2181	324	0.149	lncRNA
Cp_V2_contig_496	1046	924	0.883	coding
Cp_V2_contig_497	311	108	0.347	lncRNA
Cp_V2_contig_498	454	33	0.073	lncRNA
Cp_V2_contig_499	316	0	0.000	lncRNA
Cp_V2_contig_500	363	159	0.438	lncRNA
Cp_V2_contig_501	1280	702	0.548	coding
Cp_V2_contig_502	1052	108	0.103	lncRNA
Cp_V2_contig_503	686	240	0.350	lncRNA
Cp_V2_contig_504	413	69	0.167	lncRNA
Cp_V2_contig_505	1691	1089	0.644	coding
Cp_V2_contig_506	523	111	0.212	lncRNA
Cp_V2_contig_507	2372	2277	0.960	coding
Cp_V2_contig_508	510	39	0.076	lncRNA
Cp_V2_contig_509	695	63	0.091	lncRNA
Cp_V2_contig_510	2400	345	0.144	lncRNA
Cp_V2_contig_511	2864	189	0.066	lncRNA
Cp_V2_contig_512	586	309	0.527	coding
Cp_V2_contig_513	498	108	0.217	lncRNA
Cp_V2_contig_514	867	222	0.256	lncRNA
Cp_V2_contig_515	565	90	0.159	lncRNA
Cp_V2_contig_516	311	81	0.260	lncRNA
Cp_V2_contig_517	362	63	0.174	lncRNA
Cp_V2_contig_518	343	213	0.621	coding
Cp_V2_contig_519	3406	345	0.101	lncRNA
Cp_V2_contig_520	395	267	0.676	coding
Cp_V2_contig_521	1168	168	0.144	lncRNA
Cp_V2_contig_522	497	345	0.694	coding
Cp_V2_contig_523	507	96	0.189	lncRNA
Cp_V2_contig_524	492	117	0.238	lncRNA
Cp_V2_contig_525	898	96	0.107	lncRNA
Cp_V2_contig_526	728	96	0.132	lncRNA
Cp_V2_contig_527	1571	1041	0.663	coding
Cp_V2_contig_528	833	696	0.836	coding
Cp_V2_contig_529	437	171	0.391	lncRNA
Cp_V2_contig_530	440	66	0.150	lncRNA
Cp_V2_contig_531	687	237	0.345	lncRNA
Cp_V2_contig_532	1726	234	0.136	lncRNA
Cp_V2_contig_533	523	45	0.086	lncRNA
Cp_V2_contig_534	1823	96	0.053	lncRNA
Cp_V2_contig_535	1519	93	0.061	lncRNA
Cp_V2_contig_536	859	615	0.716	coding
Cp_V2_contig_537	3266	186	0.057	lncRNA
Cp_V2_contig_538	1098	447	0.407	lncRNA
Cp_V2_contig_539	449	0	0.000	lncRNA
Cp_V2_contig_540	542	291	0.537	coding
Cp_V2_contig_541	2207	144	0.065	lncRNA
Cp_V2_contig_542	387	90	0.233	lncRNA
