lncrna_id,partner_id,partner_name,pearson_r,pvalue,gene_description,gene_name,organism,pident,evalue,bitscore
Cp_V2_contig_12238,Cp_V2_contig_22067,.,0.9343,7.5e-05,2,ptrB,Moraxella lacunata,39.118,7.63e-171,512.0
Cp_V2_contig_12238,Cp_V2_contig_23261,.,0.9342,7.6e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_4505,.,0.9339,7.7e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_9545,.,0.9337,7.8e-05,carrier protein CoAc2,COAC2,Arabidopsis thaliana,72.468,6.920000000000001e-167,471.0
Cp_V2_contig_12238,Cp_V2_contig_2780,.,0.9335,7.9e-05,factor ESS-2 homolog,Es2,Drosophila melanogaster,30.769,3.0800000000000004e-32,133.0
Cp_V2_contig_12238,Cp_V2_contig_14994,.,0.9316,8.8e-05,protein M homolog,RANBPM,Arabidopsis thaliana,57.583,2.78e-173,499.0
Cp_V2_contig_12238,Cp_V2_contig_3614,.,0.9313,9e-05,protein pKIWI502,pKIWI502,Actinidia deliciosa,49.057,1.04e-10,60.1
Cp_V2_contig_12238,Cp_V2_contig_32562,.,0.9311,9.1e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_13800,.,0.931,9.1e-05,WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1,WEB1,Arabidopsis thaliana,63.393,6.81e-28,109.0
Cp_V2_contig_12238,Cp_V2_contig_8612,.,0.9307,9.3e-05,insoluble isoenzyme 1,INV1,Daucus carota,66.667,1.64e-39,146.0
Cp_V2_contig_12238,Cp_V2_contig_18237,.,0.9299,9.7e-05,galacturonosyltransferase-like 1,GATL1,Arabidopsis thaliana,76.061,5.02e-156,454.0
Cp_V2_contig_12238,Cp_V2_contig_43831,.,0.9299,9.7e-05,"stress protein DSP-22, chloroplastic",DSP-22,Craterostigma plantagineum,85.586,2.12e-59,183.0
Cp_V2_contig_12238,Cp_V2_contig_12850,.,0.9295,9.9e-05,domain-containing protein At1g67900,At1g67900,Arabidopsis thaliana,58.1,0.0,621.0
Cp_V2_contig_12238,Cp_V2_contig_22199,.,0.9295,9.9e-05,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_29277,.,0.9294,0.0001,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_735,.,0.929,0.000102,protein RBP47,RBP47,Nicotiana plumbaginifolia,65.074,4.91e-121,354.0
Cp_V2_contig_12238,Cp_V2_contig_18250,.,0.9287,0.000103,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_7071,.,0.9285,0.000105,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_1681,.,0.9284,0.000105,factor 8A,PRP8A,Arabidopsis thaliana,92.255,0.0,1063.0
Cp_V2_contig_12238,Cp_V2_contig_24832,.,0.9283,0.000106,methionine sulfoxide reductase B5,MSRB5,Oryza sativa subsp. japonica,92.857,1.76e-53,168.0
Cp_V2_contig_12238,Cp_V2_contig_35331,.,0.9278,0.000109,finger CCCH domain-containing protein 1,At1g01350,Arabidopsis thaliana,53.0,3.94e-21,89.4
Cp_V2_contig_12238,Cp_V2_contig_792,.,0.9272,0.000112,"1, chloroplastic",BAM1,Arabidopsis thaliana,80.645,1.17e-45,160.0
Cp_V2_contig_12238,Cp_V2_contig_21546,.,0.9269,0.000114,"stress protein DSP-22, chloroplastic",DSP-22,Craterostigma plantagineum,95.294,1.51e-92,272.0
Cp_V2_contig_12238,Cp_V2_contig_4595,.,0.9266,0.000116,complex component EXO70E2,EXO70E2,Arabidopsis thaliana,40.774,1.24e-107,340.0
Cp_V2_contig_12238,Cp_V2_contig_6333,.,0.9265,0.000116,,PSAP,Bos taurus,29.139,1.26e-07,55.1
Cp_V2_contig_12238,Cp_V2_contig_5810,.,0.9257,0.000122,"LIKE EARLY STARVATION, chloroplastic",LESV,Arabidopsis thaliana,61.8,2.2800000000000003e-179,519.0
Cp_V2_contig_12238,Cp_V2_contig_6533,.,0.9254,0.000123,UBX domain-containing protein 10,PUX10,Arabidopsis thaliana,66.667,7.58e-19,83.2
Cp_V2_contig_12238,Cp_V2_contig_29178,.,0.925,0.000126,initiation factor eIF2B subunit alpha,eif2b1,Dictyostelium discoideum,48.276,3.92e-51,174.0
Cp_V2_contig_12238,Cp_V2_contig_13382,.,0.9246,0.000129,repeat-containing protein At1g19720,DYW7,Arabidopsis thaliana,44.978,8.209999999999999e-128,394.0
Cp_V2_contig_12238,Cp_V2_contig_10000,.,0.9245,0.00013,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_33906,.,0.9244,0.00013,factor 8A,PRP8A,Arabidopsis thaliana,98.361,0.0,629.0
Cp_V2_contig_12238,Cp_V2_contig_339,.,0.9243,0.000131,receptor-associated factor homolog 1a,TRAF1A,Arabidopsis thaliana,68.831,6.09e-168,501.0
Cp_V2_contig_12238,Cp_V2_contig_44233,.,0.9243,0.000131,protein PCC27-45,,Craterostigma plantagineum,95.556,1.53e-22,89.4
Cp_V2_contig_12238,Cp_V2_contig_27371,.,0.9241,0.000133,scaffold protein A homolog,At3g61800,Arabidopsis thaliana,58.219,1.58e-51,176.0
Cp_V2_contig_12238,Cp_V2_contig_10201,.,0.9237,0.000135,transcription factor 53,BZIP53,Arabidopsis thaliana,44.444,8.1e-18,78.6
Cp_V2_contig_12238,Cp_V2_contig_4258,.,0.9236,0.000136,serine/threonine-protein kinase At1g09600,At1g09600,Arabidopsis thaliana,42.654,7.61e-92,296.0
Cp_V2_contig_12238,Cp_V2_contig_17626,.,0.9234,0.000137,,CUL1,Oryza sativa subsp. japonica,84.504,0.0,736.0
Cp_V2_contig_12238,Cp_V2_contig_17335,.,0.923,0.00014,ubiquitin-protein ligase RING1-like,At3g19950,Arabidopsis thaliana,42.336,9.24e-28,114.0
Cp_V2_contig_12238,Cp_V2_contig_7988,.,0.9227,0.000142,disease resistance protein At4g33300,At4g33300,Arabidopsis thaliana,52.016,1.54e-79,258.0
Cp_V2_contig_12238,Cp_V2_contig_45499,.,0.9226,0.000143,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_3066,.,0.9224,0.000144,transmembrane protein 2,HHP2,Arabidopsis thaliana,54.118,1.78e-120,357.0
Cp_V2_contig_12238,Cp_V2_contig_17218,.,0.9222,0.000146,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_13938,.,0.9221,0.000147,HOMOLOG OF MAMMALIAN LYST-INTERACTING PROTEIN 5,LIP5,Arabidopsis thaliana,80.822,5.8e-82,257.0
Cp_V2_contig_12238,Cp_V2_contig_30310,.,0.9218,0.000149,element-binding protein 2A,DREB2A,Arabidopsis thaliana,75.238,8.02e-28,110.0
Cp_V2_contig_12238,Cp_V2_contig_12024,.,0.9217,0.00015,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_2070,.,0.9211,0.000154,chromatid cohesion protein PDS5 homolog C,PDS5C,Arabidopsis thaliana,47.143,2.84e-15,81.3
Cp_V2_contig_12238,Cp_V2_contig_2079,.,0.9209,0.000155,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_26352,.,0.9207,0.000157,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_9340,.,0.9205,0.000159,protease SBT1.8,SBT1.8,Arabidopsis thaliana,64.017,7.85e-105,325.0
Cp_V2_contig_12238,Cp_V2_contig_214,.,0.9204,0.000159,domain-containing protein ACR5,ACR5,Arabidopsis thaliana,54.015,8.1e-50,169.0
Cp_V2_contig_12238,Cp_V2_contig_510,.,0.9201,0.000162,"finger protein VAR3, chloroplastic",VAR3,Arabidopsis thaliana,36.129,1.5499999999999999e-74,261.0
Cp_V2_contig_12238,Cp_V2_contig_18169,.,0.9197,0.000165,transport protein 13,STP13,Arabidopsis thaliana,83.607,0.0,777.0
Cp_V2_contig_12238,Cp_V2_contig_19105,.,0.9191,0.00017,O-glucosyltransferase,ZOG1,Phaseolus lunatus,47.84,4.57e-78,250.0
Cp_V2_contig_12238,Cp_V2_contig_6462,.,0.9186,0.000174,and MATH domain-containing protein 2,BPM2,Arabidopsis thaliana,70.738,0.0,597.0
Cp_V2_contig_12238,Cp_V2_contig_47812,.,0.9184,0.000176,"stress protein DSP-22, chloroplastic",DSP-22,Craterostigma plantagineum,100.0,2.21e-10,58.9
Cp_V2_contig_12238,Cp_V2_contig_17597,.,0.9181,0.000178,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_18945,.,0.918,0.000179,"A1 PLIP2, chloroplastic",PLIP2,Arabidopsis thaliana,67.493,1.66e-154,464.0
Cp_V2_contig_12238,Cp_V2_contig_11243,.,0.9179,0.00018,signal cointegrator 1 complex subunit 2,Ascc2,Mus musculus,21.064,1.81e-14,81.3
Cp_V2_contig_12238,Cp_V2_contig_252,.,0.9178,0.000181,"Clp protease ATP-binding subunit ClpA homolog CD4A, chloroplastic",CD4A,Solanum lycopersicum,90.081,0.0,1437.0
Cp_V2_contig_12238,Cp_V2_contig_2913,.,0.9177,0.000181,cytidylyltransferase,PECT1,Arabidopsis thaliana,69.461,1.0299999999999999e-81,250.0
Cp_V2_contig_12238,Cp_V2_contig_4148,.,0.9174,0.000184,hydrolase,hsaD,Rhodococcus jostii (strain RHA1),31.25,1.38e-07,55.8
Cp_V2_contig_12238,Cp_V2_contig_29118,.,0.9172,0.000186,aspartic proteinase GIP2,GIP2,Nicotiana benthamiana,55.814,5.41e-41,144.0
Cp_V2_contig_12238,Cp_V2_contig_31173,.,0.9172,0.000186,serine/threonine-protein kinase PBL19,PBL19,Arabidopsis thaliana,63.971,1.5299999999999999e-52,179.0
Cp_V2_contig_12238,Cp_V2_contig_37788,.,0.9171,0.000187,"repeat-containing protein At5g13770, chloroplastic",At5g13770,Arabidopsis thaliana,32.673,2.04e-11,62.8
Cp_V2_contig_12238,Cp_V2_contig_7792,.,0.9168,0.00019,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_26276,.,0.9166,0.000191,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_16225,.,0.9163,0.000194,alcohol dehydrogenase 2,CAD2,Rauvolfia serpentina,68.966,1.93e-154,442.0
Cp_V2_contig_12238,Cp_V2_contig_46148,.,0.9163,0.000194,blue protein,,Cucumis sativus,58.333,3.99e-26,98.2
Cp_V2_contig_12238,Cp_V2_contig_4663,.,0.9163,0.000194,WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT 1,WEB1,Arabidopsis thaliana,62.5,4.24e-36,132.0
Cp_V2_contig_12238,Cp_V2_contig_40374,.,0.9162,0.000195,domain-containing protein CBSX5,CBSX5,Arabidopsis thaliana,39.13,1.58e-11,63.2
Cp_V2_contig_12238,Cp_V2_contig_5722,.,0.916,0.000196,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_11988,.,0.9159,0.000198,protein RBP47,RBP47,Nicotiana plumbaginifolia,63.158,2.7700000000000003e-75,234.0
Cp_V2_contig_12238,Cp_V2_contig_13805,.,0.9159,0.000198,protein At3g56470,At3g56470,Arabidopsis thaliana,44.086,1.94e-73,235.0
Cp_V2_contig_12238,Cp_V2_contig_47392,.,0.9159,0.000198,protein PCC27-45,,Craterostigma plantagineum,97.959,5.72e-26,97.4
Cp_V2_contig_12238,Cp_V2_contig_20920,.,0.9154,0.000202,purine biosynthesis protein PurH,purH,Bacillus cereus (strain AH820),50.189,2.07e-172,508.0
Cp_V2_contig_12238,Cp_V2_contig_9156,.,0.9154,0.000202,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_25861,.,0.9153,0.000203,small nuclear ribonucleoprotein A',U2A',Arabidopsis thaliana,62.376,2.66e-18,84.3
Cp_V2_contig_12238,Cp_V2_contig_44,.,0.9153,0.000203,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_26363,.,0.915,0.000206,assembly factor 1 subunit FAS1,FAS1,Arabidopsis thaliana,49.505,2.1e-26,108.0
Cp_V2_contig_12238,Cp_V2_contig_31365,.,0.9147,0.000209,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_47823,.,0.9146,0.000209,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_9335,.,0.9146,0.000209,domain-containing protein 1,PDP1,Arabidopsis thaliana,57.544,1.3e-90,313.0
Cp_V2_contig_12238,Cp_V2_contig_12986,.,0.9145,0.000211,protein-interacting protein 11,CID11,Arabidopsis thaliana,70.48,2.5599999999999998e-126,369.0
Cp_V2_contig_12238,Cp_V2_contig_9310,.,0.9145,0.00021,ubiquitin-protein ligase RHF2A,RHF2A,Arabidopsis thaliana,47.436,1.07e-11,65.1
Cp_V2_contig_12238,Cp_V2_contig_17356,.,0.9143,0.000213,ubiquitin-protein ligase UPL3,UPL3,Arabidopsis thaliana,66.156,0.0,778.0
Cp_V2_contig_12238,Cp_V2_contig_15870,.,0.9142,0.000213,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_5185,.,0.9142,0.000213,"indeterminate-domain 4, chloroplastic",IDD4,Arabidopsis thaliana,81.921,4.09e-101,320.0
Cp_V2_contig_12238,Cp_V2_contig_1312,.,0.9137,0.000218,protein homolog 2,LDJ2,Allium porrum,79.365,3.17e-13,68.9
Cp_V2_contig_12238,Cp_V2_contig_19807,.,0.9136,0.00022,partner of ACD11 1,BPA1,Arabidopsis thaliana,35.622,3.72e-36,135.0
Cp_V2_contig_12238,Cp_V2_contig_21006,.,0.9129,0.000227,ubiquitin-protein ligase RNFT2,RNFT2,Homo sapiens,29.123,1.1900000000000001e-32,133.0
Cp_V2_contig_12238,Cp_V2_contig_918,.,0.9127,0.000229,5'-phosphate synthase subunit PdxS,pdxS,Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949 / MB),58.929,1.03e-13,60.8
Cp_V2_contig_12238,Cp_V2_contig_40586,.,0.9125,0.000231,partner of ACD11 1,BPA1,Arabidopsis thaliana,36.047,4e-12,63.5
Cp_V2_contig_12238,Cp_V2_contig_45615,.,0.9124,0.000232,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_16890,.,0.9121,0.000235,biogenesis protein 5,PEX5,Arabidopsis thaliana,58.197,2.96e-87,276.0
Cp_V2_contig_12238,Cp_V2_contig_3549,.,0.9121,0.000235,"of chloroplast 159, chloroplastic",TOC159,Arabidopsis thaliana,61.41,0.0,595.0
Cp_V2_contig_12238,Cp_V2_contig_9242,.,0.912,0.000235,domain family member 15,Tbc1d15,Mus musculus,49.0,2.24e-96,315.0
Cp_V2_contig_12238,Cp_V2_contig_3554,.,0.9119,0.000237,P450 81E8,CYP81E8,Medicago truncatula,53.271,3.15e-72,233.0
Cp_V2_contig_12238,Cp_V2_contig_25399,.,0.9118,0.000238,aspartic proteinase GIP2,GIP2,Nicotiana benthamiana,63.636,1.09e-53,180.0
Cp_V2_contig_12238,Cp_V2_contig_42312,.,0.9118,0.000238,aspartic proteinase GIP2,GIP2,Nicotiana benthamiana,65.625,7.599999999999999e-30,113.0
Cp_V2_contig_12238,Cp_V2_contig_13715,.,0.9117,0.000238,,,,,,
Cp_V2_contig_12238,Cp_V2_contig_47621,.,0.9116,0.00024,I 4,GLYI4,Arabidopsis thaliana,71.166,1.96e-87,256.0
Cp_V2_contig_12238,Cp_V2_contig_3704,.,0.9115,0.000241,LOL2,LOL2,Oryza sativa subsp. japonica,59.677,3.94e-34,119.0
Cp_V2_contig_12238,Cp_V2_contig_25267,.,0.9113,0.000243,aldo-keto reductase 4,At1g60710,Arabidopsis thaliana,81.746,2.4100000000000003e-73,224.0
