Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Cp_V2_contig_10101	.	Cp_V2_contig_10101	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10102	.	Cp_V2_contig_10102	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10103	.	Cp_V2_contig_10103	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10104	.	Cp_V2_contig_10104	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10105	.	Cp_V2_contig_10105	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10106	.	Cp_V2_contig_10106	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10107	.	Cp_V2_contig_10107	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10108	.	Cp_V2_contig_10108	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10109	.	Cp_V2_contig_10109	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1011	.	Cp_V2_contig_1011	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10110	.	Cp_V2_contig_10110	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10111	.	Cp_V2_contig_10111	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10112	.	Cp_V2_contig_10112	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10113	.	Cp_V2_contig_10113	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10114	.	Cp_V2_contig_10114	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10115	.	Cp_V2_contig_10115	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10116	.	Cp_V2_contig_10116	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10117	.	Cp_V2_contig_10117	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10118	.	Cp_V2_contig_10118	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10119	.	Cp_V2_contig_10119	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1012	.	Cp_V2_contig_1012	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10120	.	Cp_V2_contig_10120	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10121	.	Cp_V2_contig_10121	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10122	.	Cp_V2_contig_10122	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10123	.	Cp_V2_contig_10123	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10124	.	Cp_V2_contig_10124	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10125	.	Cp_V2_contig_10125	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10126	.	Cp_V2_contig_10126	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10127	.	Cp_V2_contig_10127	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10128	.	Cp_V2_contig_10128	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10129	.	Cp_V2_contig_10129	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1013	.	Cp_V2_contig_1013	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10130	.	Cp_V2_contig_10130	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10131	.	Cp_V2_contig_10131	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10132	.	Cp_V2_contig_10132	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10133	.	Cp_V2_contig_10133	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10134	.	Cp_V2_contig_10134	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10135	.	Cp_V2_contig_10135	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10136	.	Cp_V2_contig_10136	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10137	.	Cp_V2_contig_10137	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10138	.	Cp_V2_contig_10138	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10139	.	Cp_V2_contig_10139	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1014	.	Cp_V2_contig_1014	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10140	.	Cp_V2_contig_10140	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10141	.	Cp_V2_contig_10141	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10142	.	Cp_V2_contig_10142	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10143	.	Cp_V2_contig_10143	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10144	.	Cp_V2_contig_10144	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10145	.	Cp_V2_contig_10145	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10146	.	Cp_V2_contig_10146	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10147	.	Cp_V2_contig_10147	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10148	.	Cp_V2_contig_10148	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10149	.	Cp_V2_contig_10149	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1015	.	Cp_V2_contig_1015	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10150	.	Cp_V2_contig_10150	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10151	.	Cp_V2_contig_10151	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10152	.	Cp_V2_contig_10152	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10153	.	Cp_V2_contig_10153	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10154	.	Cp_V2_contig_10154	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10155	.	Cp_V2_contig_10155	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10156	.	Cp_V2_contig_10156	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10157	.	Cp_V2_contig_10157	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10158	.	Cp_V2_contig_10158	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10159	.	Cp_V2_contig_10159	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1016	.	Cp_V2_contig_1016	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10160	.	Cp_V2_contig_10160	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10161	.	Cp_V2_contig_10161	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10162	.	Cp_V2_contig_10162	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10163	.	Cp_V2_contig_10163	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10164	.	Cp_V2_contig_10164	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10165	.	Cp_V2_contig_10165	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10166	.	Cp_V2_contig_10166	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10167	.	Cp_V2_contig_10167	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10168	.	Cp_V2_contig_10168	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10169	.	Cp_V2_contig_10169	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1017	.	Cp_V2_contig_1017	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10170	.	Cp_V2_contig_10170	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10171	.	Cp_V2_contig_10171	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10172	.	Cp_V2_contig_10172	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10173	.	Cp_V2_contig_10173	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10174	.	Cp_V2_contig_10174	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10175	.	Cp_V2_contig_10175	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10176	.	Cp_V2_contig_10176	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10177	.	Cp_V2_contig_10177	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10178	.	Cp_V2_contig_10178	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10179	.	Cp_V2_contig_10179	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1018	.	Cp_V2_contig_1018	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10180	.	Cp_V2_contig_10180	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10181	.	Cp_V2_contig_10181	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10182	.	Cp_V2_contig_10182	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10183	.	Cp_V2_contig_10183	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10184	.	Cp_V2_contig_10184	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10185	.	Cp_V2_contig_10185	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10186	.	Cp_V2_contig_10186	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10187	.	Cp_V2_contig_10187	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10188	.	Cp_V2_contig_10188	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10189	.	Cp_V2_contig_10189	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1019	.	Cp_V2_contig_1019	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10190	.	Cp_V2_contig_10190	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10191	.	Cp_V2_contig_10191	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10192	.	Cp_V2_contig_10192	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10193	.	Cp_V2_contig_10193	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10194	.	Cp_V2_contig_10194	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10195	.	Cp_V2_contig_10195	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10196	.	Cp_V2_contig_10196	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10197	.	Cp_V2_contig_10197	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10198	.	Cp_V2_contig_10198	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10199	.	Cp_V2_contig_10199	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_102	.	Cp_V2_contig_102	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1020	.	Cp_V2_contig_1020	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10200	.	Cp_V2_contig_10200	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10201	.	Cp_V2_contig_10201	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10202	.	Cp_V2_contig_10202	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10203	.	Cp_V2_contig_10203	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10204	.	Cp_V2_contig_10204	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10205	.	Cp_V2_contig_10205	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10206	.	Cp_V2_contig_10206	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10207	.	Cp_V2_contig_10207	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10208	.	Cp_V2_contig_10208	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10209	.	Cp_V2_contig_10209	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1021	.	Cp_V2_contig_1021	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10210	.	Cp_V2_contig_10210	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10211	.	Cp_V2_contig_10211	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10212	.	Cp_V2_contig_10212	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10213	.	Cp_V2_contig_10213	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10214	.	Cp_V2_contig_10214	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10215	.	Cp_V2_contig_10215	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10216	.	Cp_V2_contig_10216	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10217	.	Cp_V2_contig_10217	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10218	.	Cp_V2_contig_10218	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10219	.	Cp_V2_contig_10219	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1022	.	Cp_V2_contig_1022	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10220	.	Cp_V2_contig_10220	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10221	.	Cp_V2_contig_10221	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10222	.	Cp_V2_contig_10222	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10223	.	Cp_V2_contig_10223	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10224	.	Cp_V2_contig_10224	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10225	.	Cp_V2_contig_10225	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10226	.	Cp_V2_contig_10226	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10227	.	Cp_V2_contig_10227	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10228	.	Cp_V2_contig_10228	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10229	.	Cp_V2_contig_10229	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1023	.	Cp_V2_contig_1023	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10230	.	Cp_V2_contig_10230	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10231	.	Cp_V2_contig_10231	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10232	.	Cp_V2_contig_10232	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10233	.	Cp_V2_contig_10233	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10234	.	Cp_V2_contig_10234	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10235	.	Cp_V2_contig_10235	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10236	.	Cp_V2_contig_10236	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10237	.	Cp_V2_contig_10237	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10238	.	Cp_V2_contig_10238	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10239	.	Cp_V2_contig_10239	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1024	.	Cp_V2_contig_1024	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10240	.	Cp_V2_contig_10240	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10241	.	Cp_V2_contig_10241	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10242	.	Cp_V2_contig_10242	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10243	.	Cp_V2_contig_10243	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10244	.	Cp_V2_contig_10244	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10245	.	Cp_V2_contig_10245	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10246	.	Cp_V2_contig_10246	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10247	.	Cp_V2_contig_10247	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10248	.	Cp_V2_contig_10248	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10249	.	Cp_V2_contig_10249	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_1025	.	Cp_V2_contig_1025	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10250	.	Cp_V2_contig_10250	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10251	.	Cp_V2_contig_10251	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10252	.	Cp_V2_contig_10252	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10253	.	Cp_V2_contig_10253	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10254	.	Cp_V2_contig_10254	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10255	.	Cp_V2_contig_10255	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10256	.	Cp_V2_contig_10256	+	1	1000	0.0	0.0	0.0
Cp_V2_contig_10257	.	Cp_V2_contig_10257	+	1	1000	0.0	0.0	0.0
